codBairro,bairro,codLocalidade,municipio,codMunicipioIBGE
11745,JARDIM NOVO BOTAFOGO,861,Campinas,3509502
11746,JARDIM NOVO CAMBUÍ,861,Campinas,3509502
11747,JARDIM NOVO CAMPOS ELÍSEOS,861,Campinas,3509502
11748,JARDIM NOVO CARRÃO,412,São Paulo,3550308
11749,JARDIM NOVO ELDORADO,431,Sorocaba,3552205
11750,JARDIM NOVO EMBU,857,Embu das Artes,3515004
11751,JARDIM NOVO ENCONTRO,5334,Juazeiro,2918407
11752,JARDIM NOVO FLAMBOYANT,861,Campinas,3509502
11753,JARDIM NOVO FLAMINGOS,2581,Arapongas,4101507
11755,JARDIM NOVO HORIZONTE,2381,Maringá,4115200
11756,JARDIM NOVO HORIZONTE,2322,Paranavaí,4118402
11757,JARDIM NOVO HORIZONTE,874,Carapicuíba,3510609
11758,JARDIM NOVO HORIZONTE,773,Hortolândia,3519071
11759,JARDIM NOVO HORIZONTE,741,Itaquaquecetuba,3523107
11760,JARDIM NOVO HORIZONTE,744,Itatiba,3523404
11761,JARDIM NOVO HORIZONTE,686,Jandira,3525003
11762,JARDIM NOVO HORIZONTE,689,Jaú,3525300
11763,JARDIM NOVO HORIZONTE,704,Leme,3526704
11764,JARDIM NOVO HORIZONTE,706,Limeira,3526902
11765,JARDIM NOVO HORIZONTE,709,Lorena,3527207
11766,Novo Horizonte,556,Piracicaba,3538709
11767,JARDIM NOVO HORIZONTE,460,São João da Boa Vista,3549102
11768,JARDIM NOVO HORIZONTE,412,São Paulo,3550308
11769,JARDIM NOVO HORIZONTE,431,Sorocaba,3552205
11770,JARDIM NOVO HORIZONTE,385,Tatuí,3554003
11771,JARDIM NOVO HORIZONTE,342,Valinhos,3556206
11772,JARDIM NOVO HORIZONTE,3460,Cuiabá,5103403
11773,JARDIM NOVO HORIZONTE,435,Suzano,3552502
11775,JARDIM NOVO HORIZONTE,791,Indaiatuba,3520509
11776,JARDIM NOVO HORIZONTE,458,São Carlos,3548906
11777,JARDIM NOVO HORIZONTE,3539,Dourados,5003702
11778,JARDIM NOVO HORIZONTE,2581,Arapongas,4101507
11779,JARDIM NOVO HORIZONTE DA CACHOEIRA,2567,Almirante Tamandaré,4100400
11782,JARDIM NOVO I,677,Mogi Guaçu,3530706
11783,JARDIM NOVO II,677,Mogi Guaçu,3530706
11784,JARDIM NOVO II,535,Rio Claro,3543907
11785,JARDIM NOVO IMPERIAL,2581,Arapongas,4101507
11786,JARDIM NOVO IPORANGA,768,Guarulhos,3518800
11787,JARDIM NOVO ITACOLOMI,677,Mogi Guaçu,3530706
11788,JARDIM NOVO ITAGUAÇU,861,Campinas,3509502
11789,JARDIM NOVO ITU,749,Itu,3523909
11790,JARDIM NOVO JAÚ,412,São Paulo,3550308
11792,JARDIM NOVO LAR,412,São Paulo,3550308
11793,JARDIM NOVO MARACANÃ,861,Campinas,3509502
11794,JARDIM NOVO MILÊNIO,3460,Cuiabá,5103403
11795,JARDIM NOVO MILÊNIO,2211,Umuarama,4128104
11796,JARDIM NOVO MUNDO,4818,Goiânia,5208707
11797,JARDIM NOVO MUNDO,3830,Poços de Caldas,3151800
11798,Novo Mundo,2481,Francisco Beltrão,4108403
11799,JARDIM NOVO MUNDO,2236,Sarandi,4126256
11800,JARDIM NOVO MUNDO,903,Bragança Paulista,3507605
11801,JARDIM NOVO MUNDO,696,Jundiaí,3525904
11802,JARDIM NOVO MUNDO,468,São José do Rio Preto,3549805
11803,JARDIM NOVO MUNDO,412,São Paulo,3550308
